"AREA","WATERBODY","GAZETTED_NAME","LOCAL_NAME_1","LOCAL_NAME_2","WATERSHED_CDE","WATERBODY_ID","RAB_CDE","POPULATION","RUN_TYPE","SPECIES","ANALYSIS_YR","START_DTT","END_DTT","ESCAPEMENT_ANALYST","ACCURACY","PRECISION","INDEX_YN","RELIABILITY","ESTIMATE_STAGE","ESTIMATE_CLASSIFICATION","NO_INSPECTIONS_USED","ESTIMATE_METHOD","STREAM_ARRIVAL_DT_FROM","STREAM_ARRIVAL_DT_TO","START_SPAWN_DT_FROM","START_SPAWN_DT_TO","PEAK_SPAWN_DT_FROM","PEAK_SPAWN_DT_TO","END_SPAWN_DT_FROM","END_SPAWN_DT_TO","ADULT_PRESENCE","JACK_PRESENCE","MAX_ESTIMATE","NATURAL_ADULT_SPAWNERS","NATURAL_JACK_SPAWNERS","NATURAL_SPAWNERS_TOTAL","ADULT_BROODSTOCK_REMOVALS","JACK_BROODSTOCK_REMOVALS","TOTAL_BROODSTOCK_REMOVALS","OTHER_REMOVALS","TOTAL_RETURN_TO_RIVER","UNSPECIFIED_RETURNS","ENUMERATION_METHOD1","ENUMERATION_METHOD2","ENUMERATION_METHOD3","ENUMERATION_METHOD4","ENUMERATION_METHOD5","ENUMERATION_METHOD6","NATURAL_ADULT_FEMALES","NATURAL_ADULT_MALES","EFFECTIVE_FEMALES","WEIGHTED_PCT_SPAWN","OTHER_ADULT_REMOVALS","OTHER_JACK_REMOVALS","TOT_ADULT_RET_RIVER","TOT_JACK_RET_RIVER","JUV_PRES_TYP","ACT_ID","POP_ID","SPC_ID","GFE_ID","CREATED_DTT","UPDATED_DTT"
"29K","SALMON RIVER","SALMON RIVER","SALMON RIVER","","128-994100-00000-00000-0000-0000-000-000-000-000-000-000","00000STHM","03-5200-000-000-000-000-000","Salmon River (Salmon Arm) Chinook Run 1","1","Chinook",2008,"","","Sue Lemke","UNK","UNK","","","FINAL","TRUE ABUNDANCE (TYPE-1)",NA,"Fixed Site Census","","","","","","","","","PRESENT","UNKNOWN",484,484,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,67392440,46407,5,237,"17-MAY-16",""
"29K","SALMON RIVER","SALMON RIVER","SALMON RIVER","","128-994100-00000-00000-0000-0000-000-000-000-000-000-000","00000STHM","03-5200-000-000-000-000-000","Salmon River (Salmon Arm) Chinook Run 1","1","Chinook",2017,"","","Sue Lemke","UNK","UNK","U","","FINAL","TRUE ABUNDANCE (TYPE-1)",NA,"Fixed Site Census","","","","","","","","","PRESENT","UNKNOWN",170,170,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,83641061,46407,5,237,"04-APR-18","05-APR-18"
"29K","SALMON RIVER","SALMON RIVER","SALMON RIVER","","128-994100-00000-00000-0000-0000-000-000-000-000-000-000","00000STHM","03-5200-000-000-000-000-000","Salmon River (Salmon Arm) Chinook Run 1","1","Chinook",1986,"15-SEP-86","07-NOV-86","Sue Lemke","HIGH","UNK","","","NEAR FINAL","UNKNOWN",NA,"Unknown Estimate Method","01-AUG-86","","01-SEP-86","","15-SEP-86","","20-OCT-86","","PRESENT","UNKNOWN",1000,1000,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,37391418,46407,5,237,"17-MAY-16",""
"29K","SALMON RIVER","SALMON RIVER","SALMON RIVER","","128-994100-00000-00000-0000-0000-000-000-000-000-000-000","00000STHM","03-5200-000-000-000-000-000","Salmon River (Salmon Arm) Chinook Run 1","1","Chinook",1987,"17-SEP-87","01-DEC-87","Sue Lemke","HIGH","UNK","","","NEAR FINAL","UNKNOWN",NA,"Unknown Estimate Method","01-JUL-87","","01-SEP-87","","20-SEP-87","","01-OCT-87","","PRESENT","UNKNOWN",641,641,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,68765335,46407,5,237,"17-MAY-16",""
"29K","SALMON RIVER","SALMON RIVER","SALMON RIVER","","128-994100-00000-00000-0000-0000-000-000-000-000-000-000","00000STHM","03-5200-000-000-000-000-000","Salmon River (Salmon Arm) Chinook Run 1","1","Chinook",1984,"","","Sue Lemke","UNK","UNK","","","NEAR FINAL","UNKNOWN",NA,"Unknown Estimate Method","15-JUL-84","","01-AUG-84","","15-SEP-84","","01-NOV-84","","PRESENT","UNKNOWN",850,850,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,16854025,46407,5,237,"17-MAY-16",""
"29K","SALMON RIVER","SALMON RIVER","SALMON RIVER","","128-994100-00000-00000-0000-0000-000-000-000-000-000-000","00000STHM","03-5200-000-000-000-000-000","Salmon River (Salmon Arm) Chinook Run 1","1","Chinook",1985,"15-JUL-85","12-NOV-85","Sue Lemke","HIGH","UNK","","","NEAR FINAL","UNKNOWN",NA,"Unknown Estimate Method","15-JUL-85","","01-AUG-85","","15-SEP-85","","31-OCT-85","","PRESENT","UNKNOWN",1670,1670,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,80633397,46407,5,237,"17-MAY-16",""
"29K","SALMON RIVER","SALMON RIVER","SALMON RIVER","","128-994100-00000-00000-0000-0000-000-000-000-000-000-000","00000STHM","03-5200-000-000-000-000-000","Salmon River (Salmon Arm) Chinook Run 1","1","Chinook",2006,"28-JUN-06","29-NOV-06","Sue Lemke","HIGH","HIGH","N","","FINAL","TRUE ABUNDANCE (TYPE-1)",NA,"Fixed Site Census","","","","","","","","","PRESENT","PRESENT",554,554,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,90710877,46407,5,237,"17-MAY-16",""
"29K","SALMON RIVER","SALMON RIVER","SALMON RIVER","","128-994100-00000-00000-0000-0000-000-000-000-000-000-000","00000STHM","03-5200-000-000-000-000-000","Salmon River (Salmon Arm) Chinook Run 1","1","Chinook",1992,"24-SEP-92","09-DEC-92","Sue Lemke","MED","UNK","","","NEAR FINAL","UNKNOWN",NA,"Unknown Estimate Method","01-JUN-92","","15-AUG-92","","08-SEP-92","","30-SEP-92","","PRESENT","UNKNOWN",300,300,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,54263558,46407,5,237,"17-MAY-16",""
"29K","SALMON RIVER","SALMON RIVER","SALMON RIVER","","128-994100-00000-00000-0000-0000-000-000-000-000-000-000","00000STHM","03-5200-000-000-000-000-000","Salmon River (Salmon Arm) Chinook Run 1","1","Chinook",2000,"20-OCT-00","06-DEC-00","Sue Lemke","UNK","UNK","","HIGH","NEAR FINAL","TRUE ABUNDANCE (TYPE-1)",NA,"Fixed Site Census","21-JUL-00","31-JUL-00","01-SEP-00","10-SEP-00","11-SEP-00","20-SEP-00","21-OCT-00","31-OCT-00","PRESENT","",426,426,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,14251123,46407,5,237,"17-MAY-16",""
"29K","SALMON RIVER","SALMON RIVER","SALMON RIVER","","128-994100-00000-00000-0000-0000-000-000-000-000-000-000","00000STHM","03-5200-000-000-000-000-000","Salmon River (Salmon Arm) Chinook Run 1","1","Chinook",2004,"30-JUN-04","02-DEC-04","Sue Lemke","HIGH","HIGH","U","","FINAL","TRUE ABUNDANCE (TYPE-1)",NA,"Fixed Site Census","","","","","","","","","PRESENT","UNKNOWN",395,395,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,13538152,46407,5,237,"17-MAY-16",""
"29K","SALMON RIVER","SALMON RIVER","SALMON RIVER","","128-994100-00000-00000-0000-0000-000-000-000-000-000-000","00000STHM","03-5200-000-000-000-000-000","Salmon River (Salmon Arm) Chinook Run 1","1","Chinook",2007,"","","Sue Lemke","UNK","UNK","","","FINAL","TRUE ABUNDANCE (TYPE-1)",NA,"Fixed Site Census","","","","","","","","","PRESENT","UNKNOWN",173,173,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,36344756,46407,5,237,"17-MAY-16",""
"29K","SALMON RIVER","SALMON RIVER","SALMON RIVER","","128-994100-00000-00000-0000-0000-000-000-000-000-000-000","00000STHM","03-5200-000-000-000-000-000","Salmon River (Salmon Arm) Chinook Run 1","1","Chinook",1990,"","","Sue Lemke","MED","UNK","","","NEAR FINAL","UNKNOWN",4,"Unknown Estimate Method","01-JUN-90","","15-AUG-90","","08-SEP-90","","30-SEP-90","","PRESENT","UNKNOWN",1100,1100,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,24029127,46407,5,237,"17-MAY-16",""
"29K","SALMON RIVER","SALMON RIVER","SALMON RIVER","","128-994100-00000-00000-0000-0000-000-000-000-000-000-000","00000STHM","03-5200-000-000-000-000-000","Salmon River (Salmon Arm) Chinook Run 1","1","Chinook",2013,"16-JUL-13","22-NOV-13","Sue Lemke","UNK","UNK","U","","FINAL","TRUE ABUNDANCE (TYPE-1)",NA,"Fixed Site Census","","","","","","","","","PRESENT","PRESENT",702,702,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,27697947,46407,5,237,"17-MAY-16",""
"29K","SALMON RIVER","SALMON RIVER","SALMON RIVER","","128-994100-00000-00000-0000-0000-000-000-000-000-000-000","00000STHM","03-5200-000-000-000-000-000","Salmon River (Salmon Arm) Chinook Run 1","1","Chinook",1994,"","","Sue Lemke","MED","UNK","","","NEAR FINAL","UNKNOWN",NA,"Unknown Estimate Method","01-JUN-94","","15-AUG-94","","08-SEP-94","","30-SEP-94","","PRESENT","UNKNOWN",800,800,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,90855991,46407,5,237,"17-MAY-16",""
"29K","SALMON RIVER","SALMON RIVER","SALMON RIVER","","128-994100-00000-00000-0000-0000-000-000-000-000-000-000","00000STHM","03-5200-000-000-000-000-000","Salmon River (Salmon Arm) Chinook Run 1","1","Chinook",1995,"","","Sue Lemke","UNK","UNK","","","FINAL","UNKNOWN",NA,"Unknown Estimate Method","","","","","","","","","PRESENT","UNKNOWN",700,700,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,38796498,46407,5,237,"17-MAY-16",""
"29K","SALMON RIVER","SALMON RIVER","SALMON RIVER","","128-994100-00000-00000-0000-0000-000-000-000-000-000-000","00000STHM","03-5200-000-000-000-000-000","Salmon River (Salmon Arm) Chinook Run 1","1","Chinook",2002,"","","Sue Lemke","UNK","UNK","U","","FINAL","TRUE ABUNDANCE (TYPE-1)",NA,"Fixed Site Census","","","","","","","","","PRESENT","UNKNOWN",1003,1003,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,91440642,46407,5,237,"17-MAY-16",""
"29K","SALMON RIVER","SALMON RIVER","SALMON RIVER","","128-994100-00000-00000-0000-0000-000-000-000-000-000-000","00000STHM","03-5200-000-000-000-000-000","Salmon River (Salmon Arm) Chinook Run 1","1","Chinook",2009,"02-JUL-09","01-DEC-09","Sue Lemke","UNK","UNK","U","","FINAL","TRUE ABUNDANCE (TYPE-1)",NA,"Fixed Site Census","03-JUL-09","","","","","","","05-NOV-09","PRESENT","PRESENT",312,312,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,65460867,46407,5,237,"17-MAY-16",""
"29K","SALMON RIVER","SALMON RIVER","SALMON RIVER","","128-994100-00000-00000-0000-0000-000-000-000-000-000-000","00000STHM","03-5200-000-000-000-000-000","Salmon River (Salmon Arm) Chinook Run 1","1","Chinook",2015,"07-JUL-15","","Sue Lemke","HIGH","HIGH","","","FINAL","TRUE ABUNDANCE (TYPE-1)",NA,"Fixed Site Census","","","","","","","","","PRESENT","UNKNOWN",139,139,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,37447746,46407,5,237,"17-MAY-16",""
"29K","SALMON RIVER","SALMON RIVER","SALMON RIVER","","128-994100-00000-00000-0000-0000-000-000-000-000-000-000","00000STHM","03-5200-000-000-000-000-000","Salmon River (Salmon Arm) Chinook Run 1","1","Chinook",1996,"","","Sue Lemke","UNK","UNK","","","FINAL","UNKNOWN",NA,"Unknown Estimate Method","","","","","","","","","PRESENT","UNKNOWN",727,727,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,68290947,46407,5,237,"17-MAY-16",""
"29K","SALMON RIVER","SALMON RIVER","SALMON RIVER","","128-994100-00000-00000-0000-0000-000-000-000-000-000-000","00000STHM","03-5200-000-000-000-000-000","Salmon River (Salmon Arm) Chinook Run 1","1","Chinook",2010,"02-JUL-10","01-DEC-10","Sue Lemke","UNK","UNK","U","","FINAL","TRUE ABUNDANCE (TYPE-1)",NA,"Fixed Site Census","07-JUL-10","","","","","","","","PRESENT","PRESENT",605,605,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,55084653,46407,5,237,"17-MAY-16",""
"29K","SALMON RIVER","SALMON RIVER","SALMON RIVER","","128-994100-00000-00000-0000-0000-000-000-000-000-000-000","00000STHM","03-5200-000-000-000-000-000","Salmon River (Salmon Arm) Chinook Run 1","1","Chinook",1988,"","","Sue Lemke","MED","UNK","","","NEAR FINAL","UNKNOWN",NA,"Unknown Estimate Method","01-JUL-88","","20-AUG-88","","16-SEP-88","","30-SEP-88","","PRESENT","UNKNOWN",1100,1100,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,10974970,46407,5,237,"17-MAY-16",""
"29K","SALMON RIVER","SALMON RIVER","SALMON RIVER","","128-994100-00000-00000-0000-0000-000-000-000-000-000-000","00000STHM","03-5200-000-000-000-000-000","Salmon River (Salmon Arm) Chinook Run 1","1","Chinook",2020,"22-JUL-20","03-DEC-20","Lauren Weir","UNKNO","UNKNO","","","FINAL","TRUE ABUNDANCE (TYPE-1)",NA,"Fixed Site Census","","","","","","","","","PRESENT","UNKNOWN",346,346,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,94299634,46407,5,237,"06-AUG-21",""
"29K","SALMON RIVER","SALMON RIVER","SALMON RIVER","","128-994100-00000-00000-0000-0000-000-000-000-000-000-000","00000STHM","03-5200-000-000-000-000-000","Salmon River (Salmon Arm) Chinook Run 1","1","Chinook",2018,"26-JUL-18","24-NOV-18","Travis Desy","UNK","UNK","","","FINAL","TRUE ABUNDANCE (TYPE-1)",NA,"Fixed Site Census","","","","","","","","","PRESENT","UNKNOWN",130,130,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,78156088,46407,5,237,"21-FEB-19",""
"29K","SALMON RIVER","SALMON RIVER","SALMON RIVER","","128-994100-00000-00000-0000-0000-000-000-000-000-000-000","00000STHM","03-5200-000-000-000-000-000","Salmon River (Salmon Arm) Chinook Run 1","1","Chinook",2019,"20-JUL-19","22-NOV-19","Travis Desy","UNK","UNK","","","FINAL","TRUE ABUNDANCE (TYPE-1)",NA,"Fixed Site Census","","","","","","","","","PRESENT","UNKNOWN",372,372,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,23914821,46407,5,237,"04-FEB-20",""
"29K","SALMON RIVER","SALMON RIVER","SALMON RIVER","","128-994100-00000-00000-0000-0000-000-000-000-000-000-000","00000STHM","03-5200-000-000-000-000-000","Salmon River (Salmon Arm) Chinook Run 1","1","Chinook",2016,"","","Sue Lemke","UNK","UNK","","","FINAL","UNKNOWN",NA,"Fixed Site Census","","","","","","","","","PRESENT","UNKNOWN",98,98,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,81666942,46407,5,237,"05-APR-17",""
"29K","SALMON RIVER","SALMON RIVER","SALMON RIVER","","128-994100-00000-00000-0000-0000-000-000-000-000-000-000","00000STHM","03-5200-000-000-000-000-000","Salmon River (Salmon Arm) Chinook Run 1","1","Chinook",1991,"","","Sue Lemke","MED","UNK","","","NEAR FINAL","UNKNOWN",4,"Unknown Estimate Method","01-JUN-91","","15-AUG-91","","08-SEP-91","","30-SEP-91","","PRESENT","UNKNOWN",616,616,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,11924923,46407,5,237,"17-MAY-16",""
"29K","SALMON RIVER","SALMON RIVER","SALMON RIVER","","128-994100-00000-00000-0000-0000-000-000-000-000-000-000","00000STHM","03-5200-000-000-000-000-000","Salmon River (Salmon Arm) Chinook Run 1","1","Chinook",2012,"20-JUL-12","30-NOV-12","Sue Lemke","UNK","UNK","U","","FINAL","TRUE ABUNDANCE (TYPE-1)",NA,"Fixed Site Census","24-JUL-12","28-OCT-12","","","","","","","PRESENT","PRESENT",344,344,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,67023092,46407,5,237,"17-MAY-16",""
"29K","SALMON RIVER","SALMON RIVER","SALMON RIVER","","128-994100-00000-00000-0000-0000-000-000-000-000-000-000","00000STHM","03-5200-000-000-000-000-000","Salmon River (Salmon Arm) Chinook Run 1","1","Chinook",2014,"10-JUL-14","26-NOV-14","Sue Lemke","UNK","UNK","U","","FINAL","TRUE ABUNDANCE (TYPE-1)",NA,"Fixed Site Census","","","","","","","","","PRESENT","PRESENT",810,810,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,10854358,46407,5,237,"17-MAY-16",""
"29K","SALMON RIVER","SALMON RIVER","SALMON RIVER","","128-994100-00000-00000-0000-0000-000-000-000-000-000-000","00000STHM","03-5200-000-000-000-000-000","Salmon River (Salmon Arm) Chinook Run 1","1","Chinook",2001,"","","Sue Lemke","UNK","UNK","","","FINAL","TRUE ABUNDANCE (TYPE-1)",NA,"Fixed Site Census","","","","","","","","","PRESENT","UNKNOWN",1362,1362,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,13278168,46407,5,237,"17-MAY-16",""
"29K","SALMON RIVER","SALMON RIVER","SALMON RIVER","","128-994100-00000-00000-0000-0000-000-000-000-000-000-000","00000STHM","03-5200-000-000-000-000-000","Salmon River (Salmon Arm) Chinook Run 1","1","Chinook",2005,"","","Sue Lemke","UNK","UNK","","","FINAL","TRUE ABUNDANCE (TYPE-1)",NA,"Fixed Site Census","","","","","","","","","PRESENT","UNKNOWN",307,307,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,58489968,46407,5,237,"17-MAY-16",""
"29K","SALMON RIVER","SALMON RIVER","SALMON RIVER","","128-994100-00000-00000-0000-0000-000-000-000-000-000-000","00000STHM","03-5200-000-000-000-000-000","Salmon River (Salmon Arm) Chinook Run 1","1","Chinook",2011,"18-JUL-11","30-NOV-11","Sue Lemke","UNK","UNK","U","","FINAL","TRUE ABUNDANCE (TYPE-1)",NA,"Fixed Site Census","","","","","","","","","PRESENT","PRESENT",161,161,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,52665890,46407,5,237,"17-MAY-16",""
"29K","SALMON RIVER","SALMON RIVER","SALMON RIVER","","128-994100-00000-00000-0000-0000-000-000-000-000-000-000","00000STHM","03-5200-000-000-000-000-000","Salmon River (Salmon Arm) Chinook Run 1","1","Chinook",1993,"28-MAY-93","17-NOV-93","Sue Lemke","MED","UNK","","","NEAR FINAL","UNKNOWN",NA,"Unknown Estimate Method","01-JUN-93","","15-AUG-93","","08-SEP-93","","30-SEP-93","","PRESENT","UNKNOWN",1850,1850,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,12705557,46407,5,237,"17-MAY-16",""
"29K","SALMON RIVER","SALMON RIVER","SALMON RIVER","","128-994100-00000-00000-0000-0000-000-000-000-000-000-000","00000STHM","03-5200-000-000-000-000-000","Salmon River (Salmon Arm) Chinook Run 1","1","Chinook",1997,"","","Sue Lemke","UNK","UNK","","","FINAL","UNKNOWN",NA,"Unknown Estimate Method","","","","","","","","","PRESENT","UNKNOWN",252,252,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,20722880,46407,5,237,"17-MAY-16",""
"29K","SALMON RIVER","SALMON RIVER","SALMON RIVER","","128-994100-00000-00000-0000-0000-000-000-000-000-000-000","00000STHM","03-5200-000-000-000-000-000","Salmon River (Salmon Arm) Chinook Run 1","1","Chinook",1998,"","","Sue Lemke","UNK","UNK","","","FINAL","TRUE ABUNDANCE (TYPE-1)",NA,"Fixed Site Census","","","","","","","","","PRESENT","UNKNOWN",284,284,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,57953832,46407,5,237,"17-MAY-16",""
"29K","SALMON RIVER","SALMON RIVER","SALMON RIVER","","128-994100-00000-00000-0000-0000-000-000-000-000-000-000","00000STHM","03-5200-000-000-000-000-000","Salmon River (Salmon Arm) Chinook Run 1","1","Chinook",1999,"22-SEP-99","10-DEC-99","Sue Lemke","UNK","UNK","","MHIGH","NEAR FINAL","TRUE ABUNDANCE (TYPE-1)",1,"Fixed Site Census","21-JUL-99","31-JUL-99","01-SEP-99","10-SEP-99","11-SEP-99","20-SEP-99","21-OCT-99","31-OCT-99","PRESENT","",351,351,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,99186944,46407,5,237,"17-MAY-16",""
"29K","SALMON RIVER","SALMON RIVER","SALMON RIVER","","128-994100-00000-00000-0000-0000-000-000-000-000-000-000","00000STHM","03-5200-000-000-000-000-000","Salmon River (Salmon Arm) Chinook Run 1","1","Chinook",1989,"28-AUG-89","29-NOV-89","Sue Lemke","MED","UNK","","","NEAR FINAL","UNKNOWN",4,"Unknown Estimate Method","01-JUN-89","","15-AUG-89","","08-SEP-89","","30-SEP-89","","PRESENT","UNKNOWN",1638,1638,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,71726091,46407,5,237,"17-MAY-16",""
"29K","SALMON RIVER","SALMON RIVER","SALMON RIVER","","128-994100-00000-00000-0000-0000-000-000-000-000-000-000","00000STHM","03-5200-000-000-000-000-000","Salmon River (Salmon Arm) Chinook Run 1","1","Chinook",2003,"","","Sue Lemke","UNK","UNK","","","FINAL","TRUE ABUNDANCE (TYPE-1)",NA,"Fixed Site Census","","","","","","","","","PRESENT","UNKNOWN",89,89,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,92767103,46407,5,237,"17-MAY-16",""
